date,house for rent,State,DMA,Full
2019-09-01,40,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-10-01,43,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-11-01,33,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2019-12-01,36,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-01-01,44,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-02-01,49,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-03-01,32,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-04-01,36,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-05-01,45,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-06-01,58,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-07-01,59,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-08-01,53,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-09-01,41,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-10-01,42,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-11-01,42,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
2020-12-01,36,SC,Greenville-Spartanburg SC-Asheville NC-Anderson ,Greenville-Spartanburg SC-Asheville NC-Anderson SC
