date,apartment,State,DMA,Full
2016-09-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2016-10-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2016-11-01,12,IN,Ft. Wayne ,Ft. Wayne IN
2016-12-01,14,IN,Ft. Wayne ,Ft. Wayne IN
2017-01-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2017-02-01,9,IN,Ft. Wayne ,Ft. Wayne IN
2017-03-01,20,IN,Ft. Wayne ,Ft. Wayne IN
2017-04-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2017-05-01,20,IN,Ft. Wayne ,Ft. Wayne IN
2017-06-01,23,IN,Ft. Wayne ,Ft. Wayne IN
2017-07-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2017-08-01,26,IN,Ft. Wayne ,Ft. Wayne IN
2017-09-01,17,IN,Ft. Wayne ,Ft. Wayne IN
2017-10-01,13,IN,Ft. Wayne ,Ft. Wayne IN
2017-11-01,23,IN,Ft. Wayne ,Ft. Wayne IN
2017-12-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2018-01-01,15,IN,Ft. Wayne ,Ft. Wayne IN
2018-02-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2018-03-01,17,IN,Ft. Wayne ,Ft. Wayne IN
2018-04-01,25,IN,Ft. Wayne ,Ft. Wayne IN
2018-05-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2018-06-01,23,IN,Ft. Wayne ,Ft. Wayne IN
2018-07-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2018-08-01,26,IN,Ft. Wayne ,Ft. Wayne IN
2018-09-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2018-10-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2018-11-01,17,IN,Ft. Wayne ,Ft. Wayne IN
2018-12-01,15,IN,Ft. Wayne ,Ft. Wayne IN
2019-01-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2019-02-01,18,IN,Ft. Wayne ,Ft. Wayne IN
2019-03-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2019-04-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2019-05-01,22,IN,Ft. Wayne ,Ft. Wayne IN
2019-06-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2019-07-01,22,IN,Ft. Wayne ,Ft. Wayne IN
