date,apartment,State,DMA,Full
2018-03-01,16,MI,Marquette ,Marquette MI
2018-04-01,17,MI,Marquette ,Marquette MI
2018-05-01,20,MI,Marquette ,Marquette MI
2018-06-01,13,MI,Marquette ,Marquette MI
2018-07-01,28,MI,Marquette ,Marquette MI
2018-08-01,16,MI,Marquette ,Marquette MI
2018-09-01,22,MI,Marquette ,Marquette MI
2018-10-01,14,MI,Marquette ,Marquette MI
2018-11-01,16,MI,Marquette ,Marquette MI
2018-12-01,16,MI,Marquette ,Marquette MI
2019-01-01,21,MI,Marquette ,Marquette MI
2019-02-01,20,MI,Marquette ,Marquette MI
2019-03-01,23,MI,Marquette ,Marquette MI
2019-04-01,20,MI,Marquette ,Marquette MI
2019-05-01,23,MI,Marquette ,Marquette MI
2019-06-01,11,MI,Marquette ,Marquette MI
2019-07-01,18,MI,Marquette ,Marquette MI
2019-08-01,17,MI,Marquette ,Marquette MI
2019-09-01,17,MI,Marquette ,Marquette MI
2019-10-01,12,MI,Marquette ,Marquette MI
2019-11-01,18,MI,Marquette ,Marquette MI
2019-12-01,30,MI,Marquette ,Marquette MI
2020-01-01,0,MI,Marquette ,Marquette MI
2020-02-01,24,MI,Marquette ,Marquette MI
2020-03-01,9,MI,Marquette ,Marquette MI
2020-04-01,20,MI,Marquette ,Marquette MI
2020-05-01,19,MI,Marquette ,Marquette MI
2020-06-01,17,MI,Marquette ,Marquette MI
2020-07-01,18,MI,Marquette ,Marquette MI
2020-08-01,18,MI,Marquette ,Marquette MI
2020-09-01,15,MI,Marquette ,Marquette MI
2020-10-01,24,MI,Marquette ,Marquette MI
2020-11-01,13,MI,Marquette ,Marquette MI
2020-12-01,9,MI,Marquette ,Marquette MI
