,date,inmigracion,State
668,2008-09-01,13,AL
669,2008-10-01,0,AL
670,2008-11-01,0,AL
671,2008-12-01,0,AL
672,2009-01-01,20,AL
673,2009-02-01,11,AL
674,2009-03-01,0,AL
675,2009-04-01,0,AL
676,2009-05-01,0,AL
677,2009-06-01,0,AL
678,2009-07-01,0,AL
679,2009-08-01,11,AL
680,2009-09-01,0,AL
681,2009-10-01,0,AL
682,2009-11-01,0,AL
683,2009-12-01,0,AL
684,2010-01-01,16,AL
685,2010-02-01,0,AL
686,2010-03-01,0,AL
687,2010-04-01,0,AL
688,2010-05-01,11,AL
689,2010-06-01,0,AL
690,2010-07-01,0,AL
691,2010-08-01,19,AL
692,2010-09-01,0,AL
693,2010-10-01,0,AL
694,2010-11-01,0,AL
695,2010-12-01,0,AL
696,2011-01-01,6,AL
697,2011-02-01,22,AL
698,2011-03-01,10,AL
699,2011-04-01,6,AL
700,2011-05-01,8,AL
701,2011-06-01,26,AL
702,2011-07-01,9,AL
703,2011-08-01,11,AL
704,2011-09-01,0,AL
705,2011-10-01,20,AL
706,2011-11-01,8,AL
707,2011-12-01,0,AL
708,2012-01-01,19,AL
709,2012-02-01,6,AL
710,2012-03-01,0,AL
711,2012-04-01,5,AL
712,2012-05-01,11,AL
713,2012-06-01,0,AL
714,2012-07-01,0,AL
715,2012-08-01,0,AL
716,2012-09-01,7,AL
717,2012-10-01,6,AL
718,2012-11-01,9,AL
719,2012-12-01,9,AL
720,2013-01-01,7,AL
721,2013-02-01,0,AL
722,2013-03-01,5,AL
723,2013-04-01,8,AL
724,2013-05-01,0,AL
725,2013-06-01,0,AL
726,2013-07-01,8,AL
727,2013-08-01,6,AL
728,2013-09-01,10,AL
729,2013-10-01,0,AL
730,2013-11-01,0,AL
731,2013-12-01,4,AL
732,2014-01-01,7,AL
733,2014-02-01,4,AL
734,2014-03-01,3,AL
735,2014-04-01,0,AL
736,2014-05-01,3,AL
737,2014-06-01,0,AL
738,2014-07-01,4,AL
739,2014-08-01,3,AL
740,2014-09-01,13,AL
741,2014-10-01,0,AL
742,2014-11-01,0,AL
743,2014-12-01,6,AL
744,2015-01-01,5,AL
745,2015-02-01,0,AL
746,2015-03-01,7,AL
747,2015-04-01,0,AL
748,2015-05-01,0,AL
749,2015-06-01,0,AL
750,2015-07-01,4,AL
751,2015-08-01,0,AL
752,2015-09-01,8,AL
753,2015-10-01,0,AL
754,2015-11-01,0,AL
755,2015-12-01,5,AL
756,2016-01-01,6,AL
757,2016-02-01,0,AL
758,2016-03-01,2,AL
759,2016-04-01,0,AL
760,2016-05-01,4,AL
761,2016-06-01,0,AL
762,2016-07-01,5,AL
763,2016-08-01,0,AL
764,2016-09-01,0,AL
765,2016-10-01,0,AL
766,2016-11-01,3,AL
767,2016-12-01,0,AL
768,2017-01-01,0,AL
769,2017-02-01,11,AL
