,date,immigration enforcement,State,DMA,Full
2177,2015-06-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2178,2015-07-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2179,2015-08-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2180,2015-09-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2181,2015-10-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2182,2015-11-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2183,2015-12-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2184,2016-01-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2185,2016-02-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2186,2016-03-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2187,2016-04-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2188,2016-05-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2189,2016-06-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2190,2016-07-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2191,2016-08-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2192,2016-09-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2193,2016-10-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2194,2016-11-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2195,2016-12-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2196,2017-01-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2197,2017-02-01,11,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2198,2017-03-01,6,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2199,2017-04-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2200,2017-05-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2201,2017-06-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2202,2017-07-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2203,2017-08-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2204,2017-09-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2205,2017-10-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2206,2017-11-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2207,2017-12-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2208,2018-01-01,6,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2209,2018-02-01,8,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2210,2018-03-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2211,2018-04-01,6,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2212,2018-05-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2213,2018-06-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2214,2018-07-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2215,2018-08-01,4,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2216,2018-09-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2217,2018-10-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2218,2018-11-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2219,2018-12-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2220,2019-01-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2221,2019-02-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2222,2019-03-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2223,2019-04-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2224,2019-05-01,6,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2225,2019-06-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2226,2019-07-01,7,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2227,2019-08-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2228,2019-09-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2229,2019-10-01,3,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2230,2019-11-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2231,2019-12-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2232,2020-01-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2233,2020-02-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2234,2020-03-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2235,2020-04-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2236,2020-05-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2237,2020-06-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2238,2020-07-01,6,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2239,2020-08-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2240,2020-09-01,0,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2241,2020-10-01,2,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2242,2020-11-01,1,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2243,2020-12-01,5,TX,Dallas-Ft. Worth ,Dallas-Ft. Worth TX
2244,2004-01-01,0,CA,Los Angeles ,Los Angeles CA
2245,2004-02-01,0,CA,Los Angeles ,Los Angeles CA
2246,2004-03-01,87,CA,Los Angeles ,Los Angeles CA
2247,2004-04-01,0,CA,Los Angeles ,Los Angeles CA
2248,2004-05-01,0,CA,Los Angeles ,Los Angeles CA
2249,2004-06-01,0,CA,Los Angeles ,Los Angeles CA
2250,2004-07-01,100,CA,Los Angeles ,Los Angeles CA
2251,2004-08-01,0,CA,Los Angeles ,Los Angeles CA
2252,2004-09-01,43,CA,Los Angeles ,Los Angeles CA
2253,2004-10-01,0,CA,Los Angeles ,Los Angeles CA
2254,2004-11-01,0,CA,Los Angeles ,Los Angeles CA
2255,2004-12-01,0,CA,Los Angeles ,Los Angeles CA
2256,2005-01-01,56,CA,Los Angeles ,Los Angeles CA
2257,2005-02-01,0,CA,Los Angeles ,Los Angeles CA
2258,2005-03-01,0,CA,Los Angeles ,Los Angeles CA
2259,2005-04-01,0,CA,Los Angeles ,Los Angeles CA
2260,2005-05-01,60,CA,Los Angeles ,Los Angeles CA
2261,2005-06-01,0,CA,Los Angeles ,Los Angeles CA
2262,2005-07-01,0,CA,Los Angeles ,Los Angeles CA
2263,2005-08-01,44,CA,Los Angeles ,Los Angeles CA
2264,2005-09-01,0,CA,Los Angeles ,Los Angeles CA
2265,2005-10-01,0,CA,Los Angeles ,Los Angeles CA
2266,2005-11-01,0,CA,Los Angeles ,Los Angeles CA
2267,2005-12-01,27,CA,Los Angeles ,Los Angeles CA
2268,2006-01-01,0,CA,Los Angeles ,Los Angeles CA
2269,2006-02-01,55,CA,Los Angeles ,Los Angeles CA
2270,2006-03-01,30,CA,Los Angeles ,Los Angeles CA
2271,2006-04-01,40,CA,Los Angeles ,Los Angeles CA
2272,2006-05-01,16,CA,Los Angeles ,Los Angeles CA
2273,2006-06-01,17,CA,Los Angeles ,Los Angeles CA
2274,2006-07-01,15,CA,Los Angeles ,Los Angeles CA
2275,2006-08-01,58,CA,Los Angeles ,Los Angeles CA
2276,2006-09-01,18,CA,Los Angeles ,Los Angeles CA
2277,2006-10-01,13,CA,Los Angeles ,Los Angeles CA
2278,2006-11-01,23,CA,Los Angeles ,Los Angeles CA
2279,2006-12-01,29,CA,Los Angeles ,Los Angeles CA
2280,2007-01-01,16,CA,Los Angeles ,Los Angeles CA
2281,2007-02-01,31,CA,Los Angeles ,Los Angeles CA
2282,2007-03-01,32,CA,Los Angeles ,Los Angeles CA
2283,2007-04-01,0,CA,Los Angeles ,Los Angeles CA
2284,2007-05-01,26,CA,Los Angeles ,Los Angeles CA
2285,2007-06-01,11,CA,Los Angeles ,Los Angeles CA
2286,2007-07-01,0,CA,Los Angeles ,Los Angeles CA
2287,2007-08-01,24,CA,Los Angeles ,Los Angeles CA
2288,2007-09-01,10,CA,Los Angeles ,Los Angeles CA
2289,2007-10-01,26,CA,Los Angeles ,Los Angeles CA
2290,2007-11-01,0,CA,Los Angeles ,Los Angeles CA
2291,2007-12-01,21,CA,Los Angeles ,Los Angeles CA
2292,2008-01-01,12,CA,Los Angeles ,Los Angeles CA
2293,2008-02-01,0,CA,Los Angeles ,Los Angeles CA
2294,2008-03-01,10,CA,Los Angeles ,Los Angeles CA
2295,2008-04-01,23,CA,Los Angeles ,Los Angeles CA
2296,2008-05-01,28,CA,Los Angeles ,Los Angeles CA
2297,2008-06-01,15,CA,Los Angeles ,Los Angeles CA
2298,2008-07-01,18,CA,Los Angeles ,Los Angeles CA
2299,2008-08-01,14,CA,Los Angeles ,Los Angeles CA
2300,2008-09-01,9,CA,Los Angeles ,Los Angeles CA
2301,2008-10-01,16,CA,Los Angeles ,Los Angeles CA
2302,2008-11-01,0,CA,Los Angeles ,Los Angeles CA
2303,2008-12-01,13,CA,Los Angeles ,Los Angeles CA
2304,2009-01-01,20,CA,Los Angeles ,Los Angeles CA
2305,2009-02-01,36,CA,Los Angeles ,Los Angeles CA
2306,2009-03-01,14,CA,Los Angeles ,Los Angeles CA
2307,2009-04-01,19,CA,Los Angeles ,Los Angeles CA
2308,2009-05-01,27,CA,Los Angeles ,Los Angeles CA
2309,2009-06-01,14,CA,Los Angeles ,Los Angeles CA
2310,2009-07-01,12,CA,Los Angeles ,Los Angeles CA
2311,2009-08-01,12,CA,Los Angeles ,Los Angeles CA
2312,2009-09-01,16,CA,Los Angeles ,Los Angeles CA
2313,2009-10-01,23,CA,Los Angeles ,Los Angeles CA
2314,2009-11-01,23,CA,Los Angeles ,Los Angeles CA
2315,2009-12-01,6,CA,Los Angeles ,Los Angeles CA
2316,2010-01-01,13,CA,Los Angeles ,Los Angeles CA
2317,2010-02-01,0,CA,Los Angeles ,Los Angeles CA
2318,2010-03-01,20,CA,Los Angeles ,Los Angeles CA
2319,2010-04-01,26,CA,Los Angeles ,Los Angeles CA
2320,2010-05-01,28,CA,Los Angeles ,Los Angeles CA
2321,2010-06-01,25,CA,Los Angeles ,Los Angeles CA
2322,2010-07-01,32,CA,Los Angeles ,Los Angeles CA
2323,2010-08-01,33,CA,Los Angeles ,Los Angeles CA
2324,2010-09-01,11,CA,Los Angeles ,Los Angeles CA
2325,2010-10-01,17,CA,Los Angeles ,Los Angeles CA
2326,2010-11-01,26,CA,Los Angeles ,Los Angeles CA
2327,2010-12-01,0,CA,Los Angeles ,Los Angeles CA
2328,2011-01-01,6,CA,Los Angeles ,Los Angeles CA
2329,2011-02-01,13,CA,Los Angeles ,Los Angeles CA
2330,2011-03-01,0,CA,Los Angeles ,Los Angeles CA
2331,2011-04-01,12,CA,Los Angeles ,Los Angeles CA
2332,2011-05-01,13,CA,Los Angeles ,Los Angeles CA
2333,2011-06-01,7,CA,Los Angeles ,Los Angeles CA
2334,2011-07-01,8,CA,Los Angeles ,Los Angeles CA
2335,2011-08-01,19,CA,Los Angeles ,Los Angeles CA
2336,2011-09-01,6,CA,Los Angeles ,Los Angeles CA
2337,2011-10-01,16,CA,Los Angeles ,Los Angeles CA
2338,2011-11-01,16,CA,Los Angeles ,Los Angeles CA
2339,2011-12-01,12,CA,Los Angeles ,Los Angeles CA
2340,2012-01-01,13,CA,Los Angeles ,Los Angeles CA
2341,2012-02-01,8,CA,Los Angeles ,Los Angeles CA
2342,2012-03-01,3,CA,Los Angeles ,Los Angeles CA
2343,2012-04-01,4,CA,Los Angeles ,Los Angeles CA
2344,2012-05-01,13,CA,Los Angeles ,Los Angeles CA
2345,2012-06-01,12,CA,Los Angeles ,Los Angeles CA
2346,2012-07-01,11,CA,Los Angeles ,Los Angeles CA
2347,2012-08-01,2,CA,Los Angeles ,Los Angeles CA
2348,2012-09-01,5,CA,Los Angeles ,Los Angeles CA
2349,2012-10-01,16,CA,Los Angeles ,Los Angeles CA
2350,2012-11-01,4,CA,Los Angeles ,Los Angeles CA
2351,2012-12-01,7,CA,Los Angeles ,Los Angeles CA
2352,2013-01-01,8,CA,Los Angeles ,Los Angeles CA
2353,2013-02-01,4,CA,Los Angeles ,Los Angeles CA
2354,2013-03-01,9,CA,Los Angeles ,Los Angeles CA
2355,2013-04-01,3,CA,Los Angeles ,Los Angeles CA
2356,2013-05-01,9,CA,Los Angeles ,Los Angeles CA
